نام بیمارستان,روز هفته,تاریخ مصرف,تعداد مصرف,کد مشتریان,باز یا بسته بودن داروخانه,تخفیفات,تعطیلی مدارس,تعطیلی هفتگی
2,3,1/1/2019,72,1,1,0,0,0
1,3,1/1/2019,61,1,1,0,0,0
12,3,1/1/2019,3,1,1,0,0,0
9,3,1/1/2019,18,1,1,0,0,0
11,3,1/1/2019,16,1,1,0,0,0
6,3,1/1/2019,5,1,1,0,0,0
5,3,1/1/2019,31,1,1,0,0,0
3,3,1/1/2019,156,1,1,0,0,0
10,3,1/1/2019,64,1,1,0,0,0
8,3,1/1/2019,13,1,1,0,0,0
3,4,1/2/2019,132,1,1,0,0,0
6,4,1/2/2019,8,1,1,0,0,0
10,4,1/2/2019,43,1,1,0,0,0
2,4,1/2/2019,74,1,1,0,0,0
5,4,1/2/2019,33,1,1,0,0,0
9,4,1/2/2019,26,1,1,0,0,0
8,4,1/2/2019,11,1,1,0,0,0
12,4,1/2/2019,4,1,1,0,0,0
11,4,1/2/2019,9,1,1,0,0,0
1,4,1/2/2019,39,1,1,0,0,0
8,5,1/3/2019,8,1,1,0,0,0
2,5,1/3/2019,83,1,1,0,0,0
11,5,1/3/2019,8,1,1,0,0,0
3,5,1/3/2019,103,1,1,0,0,0
5,5,1/3/2019,34,1,1,0,0,0
12,5,1/3/2019,1,1,1,0,0,0
10,5,1/3/2019,63,1,1,0,0,0
6,5,1/3/2019,9,1,1,0,0,0
9,5,1/3/2019,23,1,1,0,0,0
4,5,1/3/2019,1,1,1,0,0,0
1,5,1/3/2019,37,1,1,0,0,0
3,6,1/4/2019,100,1,1,0,1,0
8,6,1/4/2019,6,1,1,0,1,0
5,6,1/4/2019,20,1,1,0,1,0
2,6,1/4/2019,68,1,1,0,1,0
10,6,1/4/2019,52,1,1,0,1,0
1,6,1/4/2019,61,1,1,0,1,0
11,6,1/4/2019,3,1,1,0,1,0
6,6,1/4/2019,12,1,1,0,1,0
9,6,1/4/2019,14,1,1,0,1,0
1,7,1/5/2019,42,1,1,0,0,0
2,7,1/5/2019,69,1,1,0,0,0
10,7,1/5/2019,34,1,1,0,0,0
9,7,1/5/2019,18,1,1,0,0,0
11,7,1/5/2019,7,1,1,0,0,0
3,7,1/5/2019,139,1,1,0,0,0
8,7,1/5/2019,4,1,1,0,0,0
6,7,1/5/2019,16,1,1,0,0,0
5,7,1/5/2019,46,1,1,0,0,0
10,1,1/6/2019,19,1,1,0,0,0
3,1,1/6/2019,18,1,1,0,0,0
6,1,1/6/2019,11,1,1,0,0,0
11,1,1/6/2019,10,1,1,0,0,0
1,1,1/6/2019,51,1,1,0,0,0
5,1,1/6/2019,26,1,1,0,0,0
12,1,1/6/2019,1,1,1,0,0,0
3,1,1/6/2019,127,1,1,0,0,0
4,1,1/6/2019,1,1,1,0,0,0
9,1,1/6/2019,18,1,1,0,0,0
8,1,1/6/2019,17,1,1,0,0,0
2,1,1/6/2019,94,1,1,0,0,0
3,2,1/7/2019,125,1,1,0,0,0
5,2,1/7/2019,29,1,1,0,0,0
9,2,1/7/2019,21,1,1,0,0,0
1,2,1/7/2019,44,1,1,0,0,0
11,2,1/7/2019,8,1,1,0,0,0
8,2,1/7/2019,14,1,1,0,0,0
3,2,1/7/2019,23,1,1,0,0,0
2,2,1/7/2019,109,1,1,0,0,0
6,2,1/7/2019,4,1,1,0,0,0
10,2,1/7/2019,35,1,1,0,0,0
11,3,1/8/2019,13,1,1,0,0,0
6,3,1/8/2019,11,1,1,0,0,0
3,3,1/8/2019,30,1,1,0,0,0
5,3,1/8/2019,26,1,1,0,0,0
9,3,1/8/2019,18,1,1,0,0,0
8,3,1/8/2019,12,1,1,0,0,0
1,3,1/8/2019,52,1,1,0,0,0
10,3,1/8/2019,19,1,1,0,0,0
4,3,1/8/2019,1,1,1,0,0,0
3,3,1/8/2019,95,1,1,0,0,0
2,3,1/8/2019,116,1,1,0,0,0
5,4,1/9/2019,40,1,1,0,0,0
2,4,1/9/2019,117,1,1,0,0,0
9,4,1/9/2019,22,1,1,0,0,0
10,4,1/9/2019,33,1,1,0,0,0
6,4,1/9/2019,7,1,1,0,0,0
11,4,1/9/2019,17,1,1,0,0,0
1,4,1/9/2019,51,1,1,0,0,0
4,4,1/9/2019,1,1,1,0,0,0
3,4,1/9/2019,91,1,1,0,0,0
3,4,1/9/2019,48,1,1,0,0,0
8,4,1/9/2019,14,1,1,0,0,0
8,5,1/10/2019,5,1,1,0,0,0
11,5,1/10/2019,18,1,1,0,0,0
2,5,1/10/2019,114,1,1,0,0,0
4,5,1/10/2019,1,1,1,0,0,0
3,5,1/10/2019,10,1,1,0,0,0
3,5,1/10/2019,114,1,1,0,0,0
1,5,1/10/2019,39,1,1,0,0,0
6,5,1/10/2019,4,1,1,0,0,0
5,5,1/10/2019,40,1,1,0,0,0
10,5,1/10/2019,21,1,1,0,0,0
9,5,1/10/2019,17,1,1,0,0,0
1,6,1/11/2019,28,1,1,0,1,0
3,6,1/11/2019,108,1,1,0,1,0
9,6,1/11/2019,27,1,1,0,1,0
6,6,1/11/2019,3,1,1,0,1,0
3,6,1/11/2019,3,1,1,0,1,0
