datetime,max_temp,min_temp,temp,rh,precip,wind_spd,solar_rad,snow
2019-01-01,7.0,-4.0,1.2,64.8,0.0,1.9,102,0.0
2019-01-02,5.0,-6.0,-0.1,85.7,4.5,1.2,36,19.5
2019-01-03,3.0,-0.1,0.7,89.7,8.0,2.5,24,46.5
2019-01-04,8.0,-4.0,0.4,70.8,0.0,2.2,118,0.0
2019-01-05,3.0,-6.0,-1.9,83.0,0.0,1.5,52,0.0
2019-01-06,10.0,-2.7,3.5,76.8,6.5,3.6,89,40.5
2019-01-07,7.0,-3.0,3.9,48.3,1.0,4.6,132,0.0
2019-01-08,8.0,-7.0,-0.7,67.0,0.0,1.5,137,0.0
2019-01-09,8.0,-1.0,3.9,47.3,0.0,4.7,131,0.0
2019-01-10,5.0,-8.0,-1.1,47.6,0.0,3.2,134,0.0
2019-01-11,6.1,-9.8,-3.0,63.0,0.0,1.0,140,0.0
2019-01-12,7.0,-9.1,-2.9,68.6,0.0,1.2,70,0.0
2019-01-13,9.0,-5.0,3.0,73.3,5.5,3.7,41,0.0
2019-01-14,8.0,2.0,5.7,79.7,15.5,5.0,75,0.0
2019-01-15,10.0,-1.0,4.8,53.1,0.0,3.1,114,0.0
2019-01-16,12.0,-3.0,4.1,74.7,3.5,2.3,127,0.0
2019-01-17,9.0,-1.0,3.6,64.3,5.5,5.2,76,11.5
2019-01-18,-1.0,-5.4,-3.3,82.7,1.5,2.3,127,28.5
2019-01-19,0.0,-15.0,-7.2,81.6,0.0,2.0,148,0.0
2019-01-20,4.0,-14.0,-6.4,64.3,0.0,1.9,150,0.0
2019-01-21,4.0,-12.0,-4.4,63.3,0.0,1.4,151,0.0
2019-01-22,8.1,-9.0,-1.4,59.1,0.0,1.5,152,0.0
2019-01-23,8.0,-6.0,0.0,65.0,0.0,1.7,154,0.0
2019-01-24,8.5,-6.0,0.8,67.3,0.0,1.5,155,0.0
2019-01-25,9.0,-4.0,1.5,71.0,0.5,2.2,123,0.0
2019-01-26,12.0,-3.0,3.4,66.7,0.0,2.0,154,0.0
2019-01-27,12.0,-3.5,3.8,77.5,2.5,2.4,69,0.0
2019-01-28,10.0,4.0,6.9,76.7,30.0,4.7,22,0.0
2019-01-29,6.0,2.0,3.7,65.8,10.0,5.3,144,0.0
2019-01-30,8.5,-3.4,1.5,72.8,0.0,2.3,69,0.0
2019-01-31,11.2,-4.0,2.9,68.2,0.0,2.3,161,0.0
2019-02-01,10.0,-2.0,3.5,60.7,0.0,2.4,103,0.0
2019-02-02,10.0,-2.1,3.5,61.9,0.0,2.7,97,0.0
2019-02-03,3.0,-3.0,-0.5,80.2,9.0,3.5,88,77.0
2019-02-04,2.0,-5.0,-2.0,73.3,0.0,3.7,171,0.0
2019-02-05,5.0,-9.0,-2.2,63.9,0.0,1.6,174,0.0
2019-02-06,9.0,-10.0,-2.0,66.7,0.0,1.3,176,0.0
2019-02-07,7.3,-7.0,-0.4,67.5,0.0,1.1,54,0.0
2019-02-08,11.0,-4.4,3.3,64.1,1.5,1.9,75,0.0
2019-02-09,7.0,2.0,4.1,83.3,6.0,1.8,123,0.0
2019-02-10,9.0,-1.0,3.8,71.6,0.0,2.6,166,0.0
2019-02-11,2.0,-5.0,0.0,84.3,0.0,1.7,179,0.0
2019-02-12,3.0,-5.5,-0.9,79.7,0.0,3.0,157,0.0
2019-02-13,8.0,-7.0,-0.6,65.4,0.0,2.0,190,0.0
2019-02-14,11.0,-6.0,2.3,61.5,0.5,1.6,192,0.0
2019-02-15,7.0,1.0,3.9,84.2,3.0,2.7,124,0.0
2019-02-16,6.0,-2.0,2.8,61.8,3.0,4.8,140,2.0
2019-02-17,5.0,-2.0,1.6,67.1,0.0,5.2,126,0.0
2019-02-18,5.0,-4.0,0.6,62.9,0.0,3.7,124,0.0
2019-02-19,5.0,-2.0,1.1,60.2,0.0,4.6,123,0.0
2019-02-20,8.0,-7.4,-0.1,51.7,0.0,2.2,204,0.0
2019-02-21,9.0,-9.0,0.3,55.4,0.0,1.8,129,0.0
2019-02-22,8.0,-3.9,1.4,57.8,1.0,2.3,183,0.0
2019-02-23,10.3,-5.0,1.3,64.7,0.5,2.0,204,0.0
2019-02-24,8.0,-5.0,1.0,82.3,3.0,2.2,194,6.5
2019-02-25,10.0,-2.0,2.9,68.9,0.0,2.2,206,0.0
2019-02-26,11.0,-4.0,4.3,52.0,0.0,3.4,217,0.0
2019-02-27,10.0,3.0,6.0,55.5,3.5,4.0,188,0.0
2019-02-28,5.0,0.0,3.2,65.9,2.5,3.7,174,1.0
2019-03-01,5.0,-4.0,1.9,64.8,4.0,5.3,110,2.0
2019-03-02,8.5,-5.6,0.8,59.3,0.0,3.1,226,0.0
